119,64,1
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,64,1
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,64,1
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,64,1
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,64,1
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,64,1
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,64,1
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,64,1
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,64,1
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,64,1
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,10,0
119,64,1
